Date,Quote
4/22/2014,1879.550049
4/23/2014,1875.390015
4/24/2014,1878.609985
4/25/2014,1863.400024
4/28/2014,1869.430054
4/29/2014,1878.329956
4/30/2014,1883.949951
5/1/2014,1883.680054
5/2/2014,1881.140015
5/5/2014,1884.660034
5/6/2014,1867.719971
5/7/2014,1878.209961
5/8/2014,1875.630005
5/9/2014,1878.47998
5/12/2014,1896.650024
5/13/2014,1897.449951
5/14/2014,1888.530029
5/15/2014,1870.849976
5/16/2014,1877.859985
5/19/2014,1885.079956
5/20/2014,1872.829956
5/21/2014,1888.030029
5/22/2014,1892.48999
5/23/2014,1900.530029
5/27/2014,1911.910034
5/28/2014,1909.780029
5/29/2014,1920.030029
5/30/2014,1923.569946
6/2/2014,1924.969971
6/3/2014,1924.23999
6/4/2014,1927.880005
6/5/2014,1940.459961
6/6/2014,1949.439941
6/9/2014,1951.27002
6/10/2014,1950.790039
6/11/2014,1943.890015
6/12/2014,1930.109985
6/13/2014,1936.160034
6/16/2014,1937.780029
6/17/2014,1941.98999
6/18/2014,1956.97998
6/19/2014,1959.47998
6/20/2014,1962.869995
6/23/2014,1962.609985
6/24/2014,1949.97998
6/25/2014,1959.530029
6/26/2014,1957.219971
6/27/2014,1960.959961
6/30/2014,1960.22998
7/1/2014,1973.319946
7/2/2014,1974.619995
7/3/2014,1985.439941
7/7/2014,1977.650024
7/8/2014,1963.709961
7/9/2014,1972.829956
7/10/2014,1964.680054
7/11/2014,1967.569946
7/14/2014,1977.099976
7/15/2014,1973.280029
7/16/2014,1981.569946
7/17/2014,1958.119995
7/18/2014,1978.219971
7/21/2014,1973.630005
7/22/2014,1983.530029
7/23/2014,1987.01001
7/24/2014,1987.97998
7/25/2014,1978.339966
7/28/2014,1978.910034
7/29/2014,1969.949951
7/30/2014,1970.069946
7/31/2014,1930.670044
8/1/2014,1925.150024
8/4/2014,1938.98999
8/5/2014,1920.209961
8/6/2014,1920.23999
8/7/2014,1909.569946
8/8/2014,1931.589966
8/11/2014,1936.920044
8/12/2014,1933.75
8/13/2014,1946.719971
8/14/2014,1955.180054
8/15/2014,1955.060059
8/18/2014,1971.73999
8/19/2014,1981.599976
8/20/2014,1986.51001
8/21/2014,1992.369995
8/22/2014,1988.400024
8/25/2014,1997.920044
8/26/2014,2000.02002
8/27/2014,2000.119995
8/28/2014,1996.73999
8/29/2014,2003.369995
9/2/2014,2002.280029
9/3/2014,2000.719971
9/4/2014,1997.650024
9/5/2014,2007.709961
9/8/2014,2001.540039
9/9/2014,1988.439941
9/10/2014,1995.689941
9/11/2014,1997.449951
9/12/2014,1985.540039
9/15/2014,1984.130005
9/16/2014,1998.97998
9/17/2014,2001.569946
9/18/2014,2011.359985
9/19/2014,2010.400024
9/22/2014,1994.290039
9/23/2014,1982.77002
9/24/2014,1998.300049
9/25/2014,1965.98999
9/26/2014,1982.849976
9/29/2014,1977.800049
9/30/2014,1972.290039
10/1/2014,1946.160034
10/2/2014,1946.170044
10/3/2014,1967.900024
10/6/2014,1964.819946
10/7/2014,1935.099976
10/8/2014,1968.890015
10/9/2014,1928.209961
10/10/2014,1906.130005
10/13/2014,1874.73999
10/14/2014,1877.699951
10/15/2014,1862.48999
10/16/2014,1862.76001
10/17/2014,1886.76001
10/20/2014,1904.01001
10/21/2014,1941.280029
10/22/2014,1927.109985
10/23/2014,1950.819946
10/24/2014,1964.579956
10/27/2014,1961.630005
10/28/2014,1985.050049
10/29/2014,1982.300049
10/30/2014,1994.650024
10/31/2014,2018.050049
11/3/2014,2017.810059
11/4/2014,2012.099976
11/5/2014,2023.569946
11/6/2014,2031.209961
11/7/2014,2031.920044
11/10/2014,2038.26001
11/11/2014,2039.680054
11/12/2014,2038.25
11/13/2014,2039.329956
11/14/2014,2039.819946
11/17/2014,2041.319946
11/18/2014,2051.800049
11/19/2014,2048.719971
11/20/2014,2052.75
11/21/2014,2063.5
11/24/2014,2069.409912
11/25/2014,2067.030029
11/26/2014,2072.830078
11/28/2014,2067.560059
12/1/2014,2053.439941
12/2/2014,2066.550049
12/3/2014,2074.330078
12/4/2014,2071.919922
12/5/2014,2075.370117
12/8/2014,2060.310059
12/9/2014,2059.820068
12/10/2014,2026.140015
12/11/2014,2035.329956
12/12/2014,2002.329956
12/15/2014,1989.630005
12/16/2014,1972.73999
12/17/2014,2012.890015
12/18/2014,2061.22998
12/19/2014,2070.649902
12/22/2014,2078.540039
12/23/2014,2082.169922
12/24/2014,2081.879883
12/26/2014,2088.77002
12/29/2014,2090.570068
12/30/2014,2080.350098
12/31/2014,2058.899902
1/2/2015,2058.199951
1/5/2015,2020.579956
1/6/2015,2002.609985
1/7/2015,2025.900024
1/8/2015,2062.139893
1/9/2015,2044.810059
1/12/2015,2028.26001
1/13/2015,2023.030029
1/14/2015,2011.27002
1/15/2015,1992.670044
1/16/2015,2019.420044
1/20/2015,2022.550049
1/21/2015,2032.119995
1/22/2015,2063.149902
1/23/2015,2051.820068
1/26/2015,2057.090088
1/27/2015,2029.550049
1/28/2015,2002.160034
1/29/2015,2021.25
1/30/2015,1994.98999
2/2/2015,2020.849976
2/3/2015,2050.030029
2/4/2015,2041.51001
2/5/2015,2062.52002
2/6/2015,2055.469971
2/9/2015,2046.73999
2/10/2015,2068.590088
2/11/2015,2068.530029
2/12/2015,2088.47998
2/13/2015,2096.98999
2/17/2015,2100.340088
2/18/2015,2099.679932
2/19/2015,2097.449951
2/20/2015,2110.300049
2/23/2015,2109.659912
2/24/2015,2115.47998
2/25/2015,2113.860107
2/26/2015,2110.73999
2/27/2015,2104.5
3/2/2015,2117.389893
3/3/2015,2107.780029
3/4/2015,2098.530029
3/5/2015,2101.040039
3/6/2015,2071.26001
3/9/2015,2079.429932
3/10/2015,2044.160034
3/11/2015,2040.23999
3/12/2015,2065.949951
3/13/2015,2053.399902
3/16/2015,2081.189941
3/17/2015,2074.280029
3/18/2015,2099.5
3/19/2015,2089.27002
3/20/2015,2108.100098
3/23/2015,2104.419922
3/24/2015,2091.5
3/25/2015,2061.050049
3/26/2015,2056.149902
3/27/2015,2061.02002
3/30/2015,2086.23999
3/31/2015,2067.889893
4/1/2015,2059.689941
4/2/2015,2066.959961
4/6/2015,2080.620117
4/7/2015,2076.330078
4/8/2015,2081.899902
4/9/2015,2091.179932
4/10/2015,2102.060059
4/13/2015,2092.429932
4/14/2015,2095.840088
4/15/2015,2106.629883
4/16/2015,2104.98999
4/17/2015,2081.179932
4/20/2015,2100.399902
4/21/2015,2097.290039
4/22/2015,2107.959961
4/23/2015,2112.929932
4/24/2015,2117.689941
4/27/2015,2108.919922
4/28/2015,2114.76001
4/29/2015,2106.850098
4/30/2015,2085.51001
5/1/2015,2108.290039
5/4/2015,2114.48999
5/5/2015,2089.459961
5/6/2015,2080.149902
5/7/2015,2088
5/8/2015,2116.100098
5/11/2015,2105.330078
5/12/2015,2099.120117
5/13/2015,2098.47998
5/14/2015,2121.100098
5/15/2015,2122.72998
5/18/2015,2129.199951
5/19/2015,2127.830078
5/20/2015,2125.850098
5/21/2015,2130.820068
5/22/2015,2126.060059
5/26/2015,2104.199951
5/27/2015,2123.47998
5/28/2015,2120.790039
5/29/2015,2107.389893
6/1/2015,2111.72998
